english;french
Factor stowage;Coefficient d'arrimage
Factor stream;Facteur de marche
Factor stress concentration;Facteur de concentration de contrain
Factor three-dimensional reduction;Facteur de réduction tridimensionnel
Factor transfer;Coefficient d'échange (de calories)
Factor underwater explosion-induced;Facteur de fouettement induit par ex
Factor unity power;Facteur de puissance
Factor utilization;Coefficient d'utilisation
Factor weighting;Coefficient de pondération
Factor welded joint efficiency;Facteur d'efficacité d'un joint soud
Factor whipping;Facteur de fouettement (d'explosions
Factor working;Taux de charge
Fade out (to);Disparaître (onde radio)
Fading;Décoloration
Fading;Décoloration
Fading;Fading
Fading (of a radio signal);Affaiblissement
Fag (to);Décommettre (se)
Fail;"Visa ""non acquis"""
Fail safe;Sans danger (ne fait courir aucun ri
Fail safe;Sûr (sans danger)
Fail safe state;Etat d'autoprotection
Failing stipulation to the contrary;Sauf clause complémentaire
Failsafe;A sécurité intégrée
Failsafe device;Sécurité de défectuosité
Failure;Avarie
Failure;Défaillance
Failure;Panne
Failure envelope;Limites de défaillance
Failure modes;Modes de rupture
Failure of basic isolation;Défaillance de l'isolation principal
Failure status signal;"Panne; signal de"
Failure catastrophic;Panne cataleptique
Failure complete;Panne complète / défaillance complèt
Failure power;Panne d'alimentation
Failure power;Panne de courant
Fail-safe;Défaillance sans risque
Fair line;Trace lisse
Fairing;Carénage
Fairing;Lissage
Fairing;Redressage
Fairing the lines;Balancement des formes d'un navire
Fairing RCS;Carénage SER
Fairing blade-tip;Carénage de bout de pale
Fairing sonar;Carénage de sonar
Fairing stern frame;Carénage d'étambot
Fairing streamlined;Carénage hydrodynamique ou en ligne
Fairing wake-reduction;Carénage d'atténuation de sillage
Fairlead;Chaumard
Fairlead (UK) Chock (US);Chaumard
Fairlead after towing;Chaumard de remorque arrière
Fairlead closed;Chaumard fermé
Fairlead forward towing;Chaumard de remorque avant
Fairlead kite;Chaumard du plongeur
Fairlead lower;Chaumard inférieur
Fairlead open;Chaumard à corne
Fairlead open;Chaumard ouvert
Fairlead roller;Chaumard à rouleaux
Fairwater;Carénage
Fairway;Passe
Fake (of a coil of rope);Plet (d'un glène de cordage)
Faked/flaked;Lové à longs plis/à longs plets
Fall;Garant
Fall;Garant de suspente
Falling gradient;Pente
Falling off to leeward;Abattée
Fallout;Retombée
Fallout contours;Courbes de retombée
False alarm;Fausse alerte
False ceiling;Faux-plafond
False floor;Faux plancher
False roll;Roulis artificiel
False target elimination;Elimination des faux échos
False/raised deck/floor;Faux plancher
Family of anti-air missile systems;Famille de missiles surface-air futu
Fan;Ventilateur
Fan in;Entrance (logique)
Fan on;Ventilateur en fonction
Fan out (output drive capacity);Sortance (logique)
Fancy yarn/novelty yarn;Fil fantaisie
Fanfold;Pliage accordéon
Fans sparkproof hydraulic;Ventilateur hydraulique anti-étincel
Fan-type air-cooler;Aéro-réfrigérant à convection
Fan-type convector;Ventilo-convecteur / aéro-convecteur
Fan air extraction;Ventilateur extracteur d'air
Fan air extractor;Ventilateur d'aspiration d'air
Fan blower;Ventilateur
Fan bracket;Ventilateur mural
Fan centrifugal;Ventilateur centrifuge
Fan circulating;Brasseur d'air
Fan exhaust;Ventilateur d'assainissement
Fan extraction;Ventilateur de reprise
Fan propeller type;Ventilateur hélicoïde
Fan recycling;Ventilateur de recyclage
Fan smoke extraction hydraulic powe;Ventilateur hydraulique de désenfuma
Fan transverse-flow;Ventilateur centrifuge transversal
Fan/blower;Ventilateur
Fan/blower;Ventilateur/souffleur
Farad;Farad
Farad per metre;Farad par mètre
Fast Fourier Transform;Tranformation de Fourier rapide
Fast draining;Vidange rapide
Fast feed;Avance rapide
Fast to light;Résistant à la lumière
Fast (to make) / to belay;"Amarrer; tourner"
Fast / quick / high-speed;Rapide
Fasten ( to) / tighten;Serrer
Fastener;Collier de serrage
Fastener;Elément de fixation (attache)
Fastener;Fixation
Fastener Dzus;Fermoir Dzus
Fastener quick-release;Vis quart de tour
Fastener shear;Verrou cassant
Fastening;Attache
Fastening;Chevillage
Fastening;Fixation
Fastening trough;Cuvette d'amarrage
Fast-opening;Ouverture rapide (à)
Fathom;Brasse
Fathom line;Isobathe
Fathomless;Insondable
Fatigue;Fatigue
Fatigue failure;Défaillance par fatigue
Fatigue flexural;Fatigue en flexion
Fatigue low cycle;Fatigue oligocyclique
Fatigue shear;Fatigue en cisaillement
Fatigue tension/compression;Fatigue par tension/compression
Fatigue tension/tension;Fatigue par tension/tension
Fault;Anomalie
Fault;Défaut
Fault;Panne
Fault analysis;"Panne; analyse de"
Fault message;Code anomalie
Fault tracing;Dépannage
Fault trip;Déclenchement sur défaut
Faultfinding;Localisation des pannes et dépannage
Faulty;Défectueux
Fault-tracking;Recherche d'un défaut
Fault insulation;Défaut  d'isolement
Fault major;Défaut majeur
Fault system;Défaut réseau
Favourable list;Bande favorable
Fearnought suit;Vêtement d'approche anti-feu isolant
Feasibility;Faisabilité
Feather;Clavette coulissante
Feathered;Entraînées par le sillage (hélices)
Feature;Caractéristique
Features;Propriétés
Feature cartographic;Caractéristique cartographique
Fed;Alimenté
Feed;Charge
Feed a cable through ... (to);Passer un câble à travers ... (faire
Feed movement;Mouvement d'avance (outil)
Feed tank air vent;Dégagement d'air de soute alimentair
Feed (motion);Avance (mouvement)
Feed (to);Alimenter
Feedback;Contre-réaction électronique
Feedback;Feed-back
Feedback;Réaction
Feedback;Retour d'information
Feedback;Signal d'asservissement
Feedback box (Lips term);Boîte de recopie de pas (hélice)
Feedback control system;Réglage à boucle fermée
Feedback data;Retour de données
Feedback experience;Retour d'expérience
Feeder;Alimenteur
Feeder;Artère
Feeder;Ligne d'alimentation
Feeder pressure relieving;Traverse de détente
Feeder shore power;Traverse d'alimentation électrique p
Feeder tie;Artère de jonction d'interconnection
Feeder trunk;Artère entre génératrices
Feeding tube;Dispositif de prise d'aliments liqui
Feedthrough;Traversée (de cloison)
Feed-stock;Produit de base
Feel / gauge (to);Palper
Felt;Feutre
Felt ring in bearing cover;Joint feutre des couvercles de palie
Female cap;Bouchon femelle
Fend off (to);Parer
Fend (off);Déborder
Fend (to);Repousser
Fender;Ballon de défense
Fender;Défense (pare-battage)
Fender;Pare-battage
Fender;Tampon de choc
Fender guard;Ceinture d'accostage
Fender pudding;Baderne
Ferrite;Ferrite
Ferrite antenna;Cadre à ferrite
Ferrite number;Indice de ferrite
Ferrous part;Partie ferreuse
Ferrule;Bague
Ferrule;Frette
Ferrule;Virole
Fettling;Ebarbage (métallurgie)
Fettling;Ebavurage
Fiberglass chopper;Coupeur de fibres de verre
Fibre;Fibre
Fibre core;Ame centrale en textile
Fibre core (of wire rope);A âme de fibre (fil d'acier)
Fibre count;Nombre de fibres
Fibre direction;Orientation des fibres
Fibre rope handling gear;Appareil de manoeuvre pour cordage e
Fibre show;Fibre apparente
Fibre streak/fibre whitening;Excès local de fibres
Fibreboard;Panneau de fibres agglomérées
Fibres protruding;Affleurement de fibres de verre
Fibres milled;Fibres broyées
Fibre HS;Fibre HT
Fibre aramid;Fibre aramide
Fibre carbon;Fibre de carbone
Fibre high performance;Fibre à hautes performances
Fibre high strength carbon;Fibre de carbone HT
Fibre kevlar;Fibre de Kevlar
Fibre ligneous;Fibre ligneuse
Fibre man-made;Fibre synthétique/artificielle
Fibre milled;Fibre broyée
Fibre natural;Fibre naturelle
Fibre silicone varnish-impregnated;Fibre de verre imprégnée de vernis s
Fibre staple / discontinuous;Fibre discontinue
Fibre synthetic;Fibre synthétique
Fibre visible fibre;Fibre apparente
Fibre vulcanized;Fibre vulcanisée
Fidelity;Fidélité
Field;Champ
Field;Domaine
Field;Zone d'enregistrement (informatique)
Field intensity detector;Mesureur de champ
Field maintenance;Place (maintenance sur)
Field of application;Champ d'application
Field of expertise;Domaine de compétence
Field of expertise;Domaine de qualification
Field of expertise;Spécialité
Field of fire;Champ de tir
Field of view;Champ visuel
Field pole;Pièce polaire
Field rheostat;Rhéostat de champ
Field strength;Force de champ
Field strength;"Intensité de champ (électrique; magn"
Field winding;Inducteur (moteur électrique)
Field (of a document);Zone
Field angular (optics);Champ angulaire (optique)
Field dynamic pressure;Champ de pression dynamique
Field earth's magnetic;Champ magnétique terrestre
Field electric;Champ électrique
Field free;Champ libre
Field gravitational;Champ de gravitation
Field gravitational;Champ de gravité
Field horizontal;Champ magnétique horizontal
Field horizontal longitudinal;Champ magnétique horizontal longitud
Field horizontal transversal;Champ magnétique horizontal transver
Field incident;Champ incident
Field low frequency magnetic;Champ magnétique à basses fréquences
Field magnetic;Champ magnétique
Field radiant;Champ lumineux
Field radiation;Champ de radiations
Field sound;Champ acoustique
Field stray;Champ de fuite
Fighter controller (RN);Officier d'interception
Figure head;Figure de la guibre
Figure index;Repère sur figure
Figure of merit;Chiffre de mérite
Figure of merit;Qualité sustentatrice
Figure noise (USA);Facteur de bruit
Filament;Filament
Filament;Mèche (CVR)
Filament lower;Filament bas
Filament upper;Filament haut
File;Fichier
File;Lime
File flat;Lime plate
File (to);Classer
File (to);Limer
File bastard;Lime bâtarde
File cant-saw;Lime demi-pignon
File cross-cut;Lime à taille double
File cross-cut;Lime croisée
File dead-smooth;Lime extra fine
File fish-back;Lime feuille de sauge
File half-round;Lime demi-ronde
File individual technical requireme;Cahier des Clauses Techniques Partic
File knife;Lime couteau
File milled for light alloys;Lime fraisée pour métaux légers
File needle;Lime aiguille
File rat-tail;Lime queue de rat
File round;Lime ronde
File saw;Lime tiers-points
File second-cut;Lime demi-douce
File single-cut;Lime  à taille simple
File smooth;Lime douce
File special administrative require;Cahier des clauses adminis. particul
File square;Lime carrée
File warding;Lime à clés
Filerecordcard;Fichier
Filing;Archivage
Filings;Limaille
Fill (to);Remplir
Filler;Charge / matière de charge
Filler;Charge spécifique
Filler;Charge/matière de charge
Filler;Enduit
Filler cap;Bouchon de remplissage
Filler neck;Manchon de remplissage
Filler rod;Baguette de soudure
Filler speck;Tache de charge
Filler (wire);Jonc de câble multiconducteur
Filler/extender;Charge
Fillet;Congé
Fillet;Raccord (soudure)
Fillet;Raccordement
Fillet weld with dissimilar material;Angle hétérogène
Fillet weld with smooth blended face;Soudure d'angle avec bords de cordon
Filling;Remplissage
Filling line to diverter;Circuit de remplissage vers le dévia
Filling plate;Nable de remplissage
Filling port;Orifice de remplissage
Filling tank;Vase de remplissage
Filling with foam filler + hollow gl;Remplissage de matériau alvéolaire
Filling yarn;Trame
Filling cork;Remplissage de liège
Filling foam;Remplissage de mousse
Filling pitch;Remplissage de brai
Film;Feuil
Film;Feuille mince/film
Film applicator;Filmographe
Film base;Support du film
Film blowing;Soufflage de feuille mince
Film casting;Coulage de feuille mince
Film contrast;Contraste d'une émulsion radiographi
Film extrusion;Extrusion de feuille mince
Filmset lighting operator;Eclairagiste de plateau
Filophane tape;Filoflan
Filter;Filtre
Filter cake;Gâteau de filtre
Filter cart;Chariot de filtrage
Filter changeover;Permutation de filtres
Filter choke;Self de filtrage
Filter clogging;Colmatage filtre
Filter clogging;Encrassement de filtre
Filter fineness (of filtration);Finesse de filtration
Filter head assy;Tête de filtre équipée
Filtering;Filtrage
Filtering;Filtration
Filtering assembly;Chaîne de filtration
Filtering / screening / sifting;Tamisage
Filter NBC;Filtre NBC
Filter absolute;Filtre absolu
Filter active-carbon;Filtre à charbon actif
Filter air release;Filtre de purge à air
Filter air release;Filtre de purge d'air
Filter air-conditioning;Filtre conditionnement d'air
Filter automatic/self cleaning;Filtre à décolmatage automatique
Filter band elimination;Filtre de rejection
Filter band reject;Filtre à élimination de bande
Filter band-elimination;Filtre de rejection
Filter band-pass;Filtre passe-bande
Filter band-reject;Filtre à élimination de bande
Filter band-stop;Filtre suppresseur de bande
Filter basket;Filtre à panier
Filter cartridge;Filtre à cartouche
Filter centrifugal;Filtre cyclone
Filter centrifuge;Filtre centrifugeur
Filter coalescing;Filtre à coalescence
Filter constant bandwidth;Filtre à largeur de bande constante
Filter crystal;Filtre à quartz
Filter crystal;Filtre à quartz
Filter demineralized water;Filtre à eau déminéralisée
Filter deodorizing  (rechargeable a;Filtre désodorisant (cellules à char
Filter double;Filtre double
Filter double echo;Filtre anti-réverbération
Filter dual finisher;Filtre double finisseur
